Event{id=1052, message='First call of logEvent() with INFO (file)', date=Jul 16, 2019 9:26:52 PM}
Event{id=5719, message='Second call of logEvent() with ERROR (console + file)', date=Jul 16, 2019 9:26:52 PM}
Event{id=2376, message='First call of logEvent() with INFO (file)', date=Jul 16, 2019 9:28:15 PM}
Event{id=7710, message='Second call of logEvent() with ERROR (console + file)', date=Jul 16, 2019 9:28:15 PM}
Event{id=6985, message='First call of logEvent() with INFO (file)', date=Jul 17, 2019 10:24:42 PM}
Event{id=4329, message='Second call of logEvent() with ERROR (console + file)', date=Jul 17, 2019 10:24:42 PM}
Event{id=3973, message='First call of logEvent() with INFO (file)', date=Jul 17, 2019 10:26:11 PM}
Event{id=938, message='Second call of logEvent() with ERROR (console + file)', date=Jul 17, 2019 10:26:12 PM}
Event{id=3512, message='First call of logEvent() with INFO (file)', date=Jul 17, 2019 10:31:44 PM}
Event{id=7691, message='Second call of logEvent() with ERROR (console + file)', date=Jul 17, 2019 10:31:44 PM}
Event{id=1300, message='First call of logEvent() with INFO (file)', date=Jul 17, 2019 10:32:43 PM}
Event{id=6813, message='Second call of logEvent() with ERROR (console + file)', date=Jul 17, 2019 10:32:43 PM}
Event{id=9780, message='First call of logEvent() with INFO (file)', date=Jul 17, 2019 10:33:00 PM}
Event{id=1874, message='Second call of logEvent() with ERROR (console + file)', date=Jul 17, 2019 10:33:00 PM}
Event{id=1546, message='First call of logEvent() with INFO (file)', date=Jul 17, 2019 10:33:21 PM}
Event{id=2136, message='Second call of logEvent() with ERROR (console + file)', date=Jul 17, 2019 10:33:21 PM}
Event{id=5368, message='First call of logEvent() with INFO (file)', date=Jul 17, 2019 10:37:58 PM}
Event{id=2267, message='Second call of logEvent() with ERROR (console + file)', date=Jul 17, 2019 10:37:58 PM}
Event{id=51, message='First call of logEvent() with INFO (file)', date=Jul 17, 2019 10:38:26 PM}
Event{id=8772, message='Second call of logEvent() with ERROR (console + file)', date=Jul 17, 2019 10:38:26 PM}
Event{id=8992, message='First call of logEvent() with INFO (file)', date=Jul 17, 2019 10:39:10 PM}
Event{id=5411, message='Second call of logEvent() with ERROR (console + file)', date=Jul 17, 2019 10:39:10 PM}
Event{id=1348, message='First call of logEvent() with INFO (file)', date=Jul 17, 2019 10:39:24 PM}
Event{id=7907, message='Second call of logEvent() with ERROR (console + file)', date=Jul 17, 2019 10:39:24 PM}
Event{id=5074, message='First call of logEvent() with INFO (file)', date=Jul 17, 2019 10:39:40 PM}
Event{id=6792, message='Second call of logEvent() with ERROR (console + file)', date=Jul 17, 2019 10:39:40 PM}
Event{id=4537, message='First call of logEvent() with INFO (file)', date=Jul 17, 2019 10:39:57 PM}
Event{id=1894, message='Second call of logEvent() with ERROR (console + file)', date=Jul 17, 2019 10:39:57 PM}
Event{id=3129, message='First call of logEvent() with INFO (file)', date=Jul 17, 2019 10:40:15 PM}
Event{id=4944, message='Second call of logEvent() with ERROR (console + file)', date=Jul 17, 2019 10:40:15 PM}
Event{id=807, message='First call of logEvent() with INFO (file)', date=Jul 17, 2019 10:42:21 PM}
Event{id=3254, message='Second call of logEvent() with ERROR (console + file)', date=Jul 17, 2019 10:42:21 PM}
Event{id=1656, message='First call of logEvent() with INFO (file)', date=Jul 17, 2019 10:43:18 PM}
Event{id=124, message='Second call of logEvent() with ERROR (console + file)', date=Jul 17, 2019 10:43:19 PM}
Event{id=9467, message='First call of logEvent() with INFO (file)', date=Jul 17, 2019 10:48:34 PM}
